Estado,program,start,end,id,type:int,type:float,type:string,if,then,else,while,do,comma,op:add,op:sub,op:mult,op:div,lp,rp,bigger,bigger_or_equal,lesser,lesser_or_equal,equal,not_equal,attr,$
S,1,,,,,,,,,,,,,,,,,,,,,,,,,,
A,2,,,,,,,,,,,,,,,,,,,,,,,,,,
B,,3,,,,,,,,,,,,,,,,,,,,,,,,,
C,,,,4,4,4,4,4,,,4,4,,,,,,,,,,,,,,,
D,,,,9,5,5,5,6,,,7,8,,,,,,,,,,,,,,,
E,,,10,9,,,,6,,,7,8,,,,,,,,,,,,,,,10
F,,,,,11,12,13,,,,,,,,,,,,,,,,,,,,
G,,,,,,,,14,,,,,,,,,,,,,,,,,,,
H,,,,,,,,,,,15,,,,,,,,,,,,,,,,
I,,,,,,,,,,,,16,,,,,,,,,,,,,,,
J,,,,41,41,41,41,41,,,41,41,17,,,,,,,,,,,,,,41
K,,,,18,,,,,,,,,,,,,,18,,,,,,,,,
L,,,20,20,,,,20,,19,20,20,,,,,,,,,,,,,,,20
M,,,,,,,,,,,,,,,,,,,27,23,24,25,26,21,22,,27
N,,,,28,,,,,,,,,,,,,,,,,,,,,,,
O,,,,29,,,,,,,,,,,,,,29,,,,,,,,,
P,,,,30,,,,,,,,,,,,,,30,,,,,,,,,
Q,,,33,33,,,,33,,,33,33,,31,32,,,,,,,,,,,,33
S,,,,35,,,,,,,,,,,,,,34,,,,,,,,,
T,,,38,38,,,,38,,,38,38,,38,38,36,37,,38,,,,,,,,38
U,,,,40,,,,,,,,,,,,,,39,,,,,,,,,
